title,price,cpu,ram,graphic,SSD,resolution
โน๊ตบุ๊ค MSI Katana A17 AI B8VG-861TH Gaming Notebook,"฿50,990",AMD Ryzen 9 8940H,16GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"1920 x 1080 (Full HD) 17.3"" 144Hz IPS"
โน๊ตบุ๊ค MSI Stealth 14 AI Studio A1VFG-058TH Gaming Notebook,"฿66,990",Intel Core Ultra 7 155H,32GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2880 x 1800 14"" 120Hz OLED"
โน๊ตบุ๊ค MSI Stealth 16 AI Studio A1VFG-067TH Gaming Notebook,"฿69,990",Intel Core Ultra 7 155H,32GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค MSI Vector 16 HX A14VHG-295TH Gaming Notebook,"฿89,990",Intel Core i9-14900HX,32GB DDR5,NVIDIA GeForce RTX 4080 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค Asus TUF A15 FA507NU-LP101W Gaming Notebook,"฿31,990",AMD Ryzen 5 7535HS,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo Legion 9 16IRX8-83AG0013TA Gaming Notebook,"฿169,990",Intel Core i9-13980HX,64GB DDR5,NVIDIA GeForce RTX 4090 Laptop,2TB SSD,"3200 x 2000 16"" 165Hz"
โน๊ตบุ๊ค Lenovo LOQ 15IRX9-83DV003BTA Gaming Notebook,"฿42,990",Intel Core i7-13650HX,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo LOQ 15IRX9-83DV003ATA Gaming Notebook,"฿38,990",Intel Core i7-13650HX,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo LOQ 15IRX9-83DV0039TA Gaming Notebook,"฿35,990",Intel Core i5-13450HX,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo LOQ 15IRX9-83DV0038TA Gaming Notebook,"฿30,990",Intel Core i5-13450HX,16GB DDR5,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Katana 17 B13VGK-1063TH Gaming Notebook,"฿59,990",Intel Core i9-13900H,16GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"1920 x 1080 (Full HD) 17.3"" 144Hz IPS"
โน๊ตบุ๊ค MSI Katana 17 B13VFK-1064TH Gaming Notebook,"฿42,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"1920 x 1080 (Full HD) 17.3"" 144Hz IPS"
โน๊ตบุ๊ค MSI Cyborg 15 A12VE-809TH Gaming Notebook,"฿37,990",Intel Core i7-12650H,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Bravo 15 C7UDX-260TH Gaming Notebook,"฿28,990",AMD Ryzen 5 7535HS,16GB DDR5,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Vector 17 HX A14VHG-613TH Gaming Notebook,"฿99,990",Intel Core i9-14900HX,32GB DDR5,NVIDIA GeForce RTX 4080 Laptop,1TB SSD,"2560 x 1600 17"" 240Hz IPS"
โน๊ตบุ๊ค MSI Titan 18 HX A14VIG-031TH Gaming Notebook,"฿189,990",Intel Core i9-14900HX,64GB DDR5,NVIDIA GeForce RTX 4090 Laptop,2TB SSD,"3840 x 2400 18"" 120Hz"
โน๊ตบุ๊ค MSI Stealth 16 AI Studio A1VGG-004TH Gaming Notebook,"฿80,990",Intel Core Ultra 9 185H,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,2TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค MSI Vector 16 HX A13VHG-298TH Gaming Notebook,"฿89,990",Intel Core i9-13980HX,16GB DDR5,NVIDIA GeForce RTX 4080 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค MSI Thin GF63 12UC-1092TH Gaming Notebook,"฿22,990",Intel Core i5-12450H,16GB DDR4,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Thin GF63 12UC-1091TH Gaming Notebook,"฿28,490",Intel Core i7-12650H,16GB DDR4,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Raider GE68HX 14VIG-294TH Gaming Notebook,"฿139,990",Intel Core i9-14900HX,32GB DDR5,NVIDIA GeForce RTX 4090 Laptop,2TB SSD,"3840 x 2400 16"" 120Hz IPS"
โน๊ตบุ๊ค MSI Cyborg 15 AI A1VFK-008TH Gaming Notebook,"฿45,990",Intel Core Ultra 7 155H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Cyborg 15 AI A1VEK-010TH Gaming Notebook,"฿39,990",Intel Core Ultra 7 155H,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Acer Nitro AN515-58-59GM Gaming Notebook,"฿26,990",Intel Core i5-12450H,16GB DDR4,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค MSI Raider GE78HX 13VH-484TH Gaming Notebook,"฿105,990",Intel Core i9-13980HX,32GB DDR5,NVIDIA GeForce RTX 4080 Laptop,2TB SSD,"2560 x 1600 17"" 240Hz IPS"
โน๊ตบุ๊ค MSI Vector GP68HX 13VH-263TH Gaming Notebook,"฿89,990",Intel Core i9-13950HX,32GB DDR5,NVIDIA GeForce RTX 4080 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค MSI Katana 15 B13VGK-1637TH Gaming Notebook,"฿45,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1440 (2K QHD) 15.6"" 165Hz IPS"
